start_time,close_time,open_price,close_price,high_price,low_price,is_interval_end,SMA,StdDv,Upper,Lower,Buy/Sell
<<<<<<< Updated upstream

=======
1676725380000,1676725439999,1696.97,1697.75,1698.36,1696.97,True,1697.4300000000003,0.8200304872381583,1699.0700609744765,1695.789939025524,-
1676725440000,1676725499999,1697.75,1697.52,1697.76,1697.52,True,1697.2040000000002,0.4883953316730135,1698.1807906633462,1696.2272093366541,-
1676725500000,1676725559999,1697.52,1697.52,1697.53,1697.52,True,1697.252,0.5090874188191958,1698.2701748376383,1696.2338251623617,-
1676725560000,1676725619999,1697.52,1696.18,1697.52,1696.18,True,1697.188,0.6324318145064801,1698.452863629013,1695.923136370987,-
1676725620000,1676725679999,1696.19,1696.35,1696.35,1696.18,True,1697.0639999999999,0.7378549993054163,1698.5397099986108,1695.588290001389,-
1676725680000,1676725739999,1696.34,1696.11,1696.35,1696.11,True,1696.736,0.7209923716656209,1698.1779847433313,1695.294015256669,-
1676725740000,1676725799999,1696.10,1696.11,1696.11,1695.61,True,1696.4539999999997,0.6039288037509228,1697.6618576075016,1695.2461423924979,-
1676725800000,1676725859999,1696.10,1696.70,1696.70,1696.10,True,1696.2899999999997,0.24929901724640052,1696.7885980344925,1695.791401965507,-
1676725860000,1676725919999,1696.70,1696.69,1696.70,1696.69,True,1696.3919999999998,0.2934620929524719,1696.9789241859048,1695.8050758140948,-
1676725920000,1676725979999,1696.69,1696.69,1696.70,1696.69,True,1696.4600000000003,0.3195309061734921,1697.0990618123471,1695.8209381876534,-
1676725980000,1676726039999,1696.70,1696.96,1696.97,1696.69,True,1696.6300000000003,0.3128098463924,1697.255619692785,1696.0043803072156,-
1676726040000,1676726099999,1696.96,1696.96,1696.97,1696.96,True,1696.8,0.14611639196201617,1697.092232783924,1696.507767216076,-
1676726100000,1676726159999,1696.97,1696.96,1696.97,1696.96,True,1696.852,0.14788509052638488,1697.147770181053,1696.5562298189473,-
1676726160000,1676726219999,1696.96,1696.28,1696.97,1696.28,True,1696.77,0.29782545223673357,1697.3656509044733,1696.1743490955266,-
1676726220000,1676726279999,1696.28,1696.48,1696.49,1696.28,True,1696.7279999999998,0.32545352970895325,1697.3789070594178,1696.077092940582,-
1676726280000,1676726339999,1696.48,1696.48,1696.49,1696.48,True,1696.632,0.31035463586035567,1697.2527092717207,1696.0112907282794,-
1676726340000,1676726399999,1696.48,1697.56,1697.57,1696.48,True,1696.7519999999997,0.5164494166905247,1697.7848988333808,1695.7191011666187,-
1676726400000,1676726459999,1697.56,1697.76,1697.87,1697.56,True,1696.9119999999998,0.6913175825913725,1698.2946351651826,1695.529364834817,-
1676726460000,1676726519999,1697.76,1699.00,1699.00,1697.76,True,1697.4560000000001,1.0478931243213585,1699.5517862486429,1695.3602137513574,-
1676726520000,1676726579999,1699.00,1699.49,1699.49,1698.99,True,1698.0580000000002,1.2005082257110973,1700.4590164514225,1695.656983548578,-
1676726580000,1676726639999,1699.48,1698.33,1699.62,1698.33,True,1698.4279999999999,0.8161311169169052,1700.0602622338338,1696.795737766166,-
1676726640000,1676726699999,1698.33,1697.31,1698.34,1697.31,True,1698.378,0.8871696568301007,1700.1523393136601,1696.6036606863397,-
1676726700000,1676726759999,1697.32,1698.26,1698.28,1697.31,True,1698.4779999999998,0.8261779469339781,1700.1303558938678,1696.825644106132,-
1676726760000,1676726819999,1698.26,1697.21,1698.27,1697.00,True,1698.1199999999997,0.9253107586103188,1699.9706215172203,1696.269378482779,-
1676726820000,1676726879999,1697.22,1696.53,1697.22,1696.53,True,1697.5279999999998,0.7621810808462653,1699.0523621616924,1696.0036378383072,-
1676726880000,1676726939999,1696.53,1696.32,1696.53,1696.09,True,1697.1259999999997,0.763498526521188,1698.652997053042,1695.5990029469574,-
1676726940000,1676726999999,1696.31,1697.48,1697.49,1696.31,True,1697.1599999999999,0.7773995111910182,1698.7147990223818,1695.6052009776179,-
1676727000000,1676727059999,1697.48,1697.09,1697.79,1697.09,True,1696.926,0.48438620954774114,1697.8947724190955,1695.9572275809044,-
1676727060000,1676727119999,1697.05,1697.22,1697.22,1696.04,True,1696.9279999999999,0.4858703530778835,1697.8997407061556,1695.9562592938441,-
1676727120000,1676727179999,1697.23,1697.22,1697.23,1697.22,True,1697.066,0.44043160649529994,1697.9468632129906,1696.1851367870095,-
1676727180000,1676727239999,1697.22,1697.23,1697.54,1697.22,True,1697.248,0.14202112518920432,1697.5320422503785,1696.9639577496216,-
1676727240000,1676727299999,1697.22,1696.64,1697.23,1696.43,True,1697.08,0.25268557536983144,1697.5853711507395,1696.5746288492603,-
1676727300000,1676727359999,1696.64,1696.65,1696.65,1696.64,True,1696.9920000000002,0.3168122472379741,1697.6256244944761,1696.3583755055242,-
1676727360000,1676727419999,1696.64,1697.30,1697.79,1696.64,True,1697.0079999999998,0.33282127335848527,1697.6736425467168,1696.3423574532828,-
1676727420000,1676727479999,1697.31,1696.92,1697.31,1696.91,True,1696.9480000000003,0.3114000642260123,1697.5708001284524,1696.3251998715482,-
>>>>>>> Stashed changes
